题目,答案
根据《安全生产事故隐患排查治理暂行规定》，重大事故隐患治理方案应包括治理的目标和任务，采取的方法和措施，以及（ ）。,"['经费和物资的落实', '负责治理的机构和人员', '治理的时限和要求', '安全措施和应急预案']"
任何单位和个人不得编造、传播有关突发事件事态发展或者应急处置工作的虚假信息。,['对']
在事故应急救援中，救援人员应迅速建立警戒区域，将警戒区和污染区内与事故应急处理无关的人员（ ），以减少不必要的人员伤亡。,['撤离']
在生产现场起重作业中，地面人员切勿（ ）。,['站立在悬吊中的重物下面']
根据《国务院关于预防煤矿生产安全事故的特别规定》，预防煤矿生产安全事故的责任主体是煤矿企业。,['对']
不具备安全生产条件的生产经营单位（ ）。,['不得从事生产经营活动']
对即将发生或者已经发生的社会安全事件，县级以上地方各级人民政府及其有关主管部门应当按照规定向（ ）报告。,['上一级人民政府及其有关主管部门']
根据《道路交通安全法》的规定，交通信号灯中红灯表示（ ）。,['禁止通行']
《劳动法》中规定，（ ）建立伤亡事故和职业病统计报告和处理制度。,['国家']
《工伤保险条例》中规定，劳动功能障碍分为十个伤残等级，最轻的为（ ）。,['十级']
生产经营场所和员工宿舍应当设有符合紧急疏散要求、标志明显、保持畅通的出口、疏散通道。禁止占用、锁闭、封堵生产经营场所或者员工宿舍的出口、疏散通道。,['对']
我国的“安全生产月”是每年的（ ）月。,['六']
经济社会发展的每一个项目、每一个环节都要以安全为前提，不能有丝毫疏漏。,['对']
汛期，暴雨天气多发，易导致山体滑坡、泥石流等地质灾害，给人民生命财产安全带来极大威胁。,['对']
根据《消防法》的规定，医院的火灾自动报警系统、消火栓系统等消防设施应当每（ ）至少进行1次全面检测。,['1年']
安全色中绿色的含义是（ ）。,['传递安全的提示性信息']
根据《生产安全事故应急条例》的规定，下列单位中应当建立应急值班制度，配备应急值班人员的有（ ）。,"['建筑施工单位', '城市轨道交通运营单位', '危险物品的生产单位', '金属冶炼单位']"
事故隐患排查、治理和防控的责任主体是（ ）。,['生产经营单位']
根据《安全色》（GB 2893）的规定，安全色包括红色、蓝色、黄色和（ ）。,['绿色']
根据《突发事件应对法》的规定，二级突发事件应该发布（ ）预警。,['橙色']
根据《安全生产法》的规定，县级以上地方各级人民政府应当组织有关部门建立完善安全风险评估与论证机制，按照安全风险管控要求，进行产业规划和空间布局，并对（ ）的生产经营单位实施重大安全风险联防联控。,"['位置相邻', '行业相近', '业态相似']"
各级各类学校应当把应急知识教育纳入教学内容，对学生进行应急知识教育，培养学生的安全意识和自救与互救能力。,['对']
职业病病人获得工伤保险赔偿后，无权向用人单位提出赔偿要求。,['错']
交通信号灯中的绿灯表示准许通行。,['对']
学校应当进行地震应急知识教育，组织开展必要的地震应急救援演练，培养学生的安全意识和自救互救能力。,['对']
防止毒物危害的最佳方法是（ ）。,['使用无毒或低毒的代替品']
生产经营单位应急预案分为综合应急预案、专项应急预案和现场处置方案。,['对']
下列选项中属于化学性危害因素的是（ ）。,['工业毒物']
根据《传染病防治法》的规定，消毒是指用化学、物理、生物的方法杀灭或者消除环境中的病原微生物。,['对']
根据《消防法》的规定，下列单位中应当建立单位专职消防队，承担本单位的火灾扑救工作的有（ ）。,"['大型核设施单位', '民用机场', '主要港口', '生产、储存易燃易爆危险品的大型企业']"
伪造、变造或者使用伪造、变造的机动车（ ）的，由公安机关交通管理部门予以收缴，扣留该机动车，处十五日以下拘留，并处二千元以上五千元以下罚款；构成犯罪的，依法追究刑事责任。,"['登记证书', '号牌', '行驶证', '驾驶证']"
《突发事件应对法》所称突发事件，是指突然发生，造成或者可能造成严重社会危害，需要采取应急处置措施予以应对的自然灾害、事故灾难、公共卫生事件和社会安全事件。,['对']
根据《安全生产法》的规定， 下列选项中，属于我国安全生产方针的内容是（ ）。,"['安全第一', '预防为主', '综合治理']"
灭火器应放置在（ ）。,['易于取用的地方']
居民楼楼道内不应放置自行车、婴儿车、纸箱等杂物。,['对']
特别重大事故以下等级事故，事故发生地与事故发生单位不在同一个县级以上行政区域的，由事故发生单位所在地人民政府负责调查。,['错']
国家对食品生产经营实行许可制度。从事食品生产、食品销售、餐饮服务，应当依法取得许可。但是，销售食用农产品的，不需要取得许可。,['对']
没有证据否定职业病危害因素与病人临床表现之间的必然联系的，应当诊断为职业病。,['对']
《生产安全事故报告和调查处理条例》中规定，事故发生单位负责人接到事故报告后，应当立即启动事故相应应急预案，或者采取有效措施，组织抢救，防止事故扩大，减少人员伤亡和财产损失。,['对']
现场抢救一氧化碳中毒人员时，哪项是最先要做的（ ）。,['迅速带中毒人员离开中毒现场']
重大事故隐患报告内容应当包括（ ）。,"['隐患的现状', '隐患的产生原因', '隐患的危害程度和整改难易程度分析', '隐患的治理方案']"
发现人员触电，首先应采取的措施是（ ）。,['切断电源或使伤者脱离电源']
生产经营单位应当组织开展本单位的应急预案、应急知识、自救互救和避险逃生技能的培训活动，使有关人员了解应急预案内容，熟悉应急职责、应急处置程序和措施。,['对']
电焊工人除应注意眼睛防护外，还应注意防护电焊烟尘对人体的危害。,['对']
根据《生产安全事故报告和调查处理条例》的规定，造成30人以上死亡的生产安全事故，属于（ ）。,['特别重大事故']
根据《刑法》的规定，安全生产设施或者安全生产条件不符合国家规定，因而发生重大伤亡事故或者造成其他严重后果的，对直接负责的主管人员和其他直接责任人员，处三年以下有期徒刑或者拘役；情节特别恶劣的，处（ ）有期徒刑。,['三年以上七年以下']
驾驶货车在山区道路遇塌方、泥石流时，应在确认安全后尽快通过。,['对']
应急救援队伍建立单位或者兼职应急救援人员所在单位应当按照国家有关规定对应急救援人员进行培训；应急救援人员经培训合格后，方可参加应急救援工作。,['对']
关于蚊香的使用注意事项，下列说法错误的是（ ）。,['为保证驱蚊效果，蚊香宜靠近蚊帐放置']
安全色中蓝色的含义是（ ）。,['传递必须遵守规定的指令性信息']
根据《职业病防治法》的规定，国家鼓励和支持研制、开发、推广、应用有利于职业病防治和保护劳动者健康的（ ），加强对职业病的机理和发生规律的基础研究，提高职业病防治科学技术水平。,"['新技术', '新工艺', '新设备', '新材料']"
下列哪种灭火器适于扑救实验室精密仪器火灾（ ）。,['二氧化碳灭火器']
安全生产责任保险属于强制性商业保险，生产经营单位都应当缴纳。,['错']
连续驾驶机动车超过4小时时，应进入附近服务区停车休息，且休息时间不少于（ ）分钟。,['20']
严禁携带易燃易爆危险品进入商业综合体。,['对']
生产经营单位不得使用应当淘汰的危及生产安全的工艺、设备。,['对']
《突发事件应对法》中规定，可以预警的自然灾害、事故灾难和公共卫生事件的预警级别，按照突发事件发生的紧急程度、发展势态和可能造成的危害程度分为一级、二级、三级和四级，其中一级预警用（ ）标示。,['红色']
生产、储存、经营易燃易爆危险品的场所可以与居住场所设置在同一建筑物内。,['错']
根据《职业病防治法》的规定，对可能发生急性职业损伤的有毒、有害工作场所，用人单位应当设置报警装置，配置（ ）和必要的泄险区。,"['现场急救用品', '冲洗设备', '应急撤离通道']"
国家对严重危及生产安全的工艺、设备实行（ ）制度。,['淘汰']
任何单位和个人都可以阻挠和干涉对事故的依法调查处理。,['错']
